state/region,ages,year,population,state,area (sq. mi),인구밀도
AL,under18,2012.0,1117489.0,Alabama,52423.0,21.31676935696164
AL,total,2012.0,4817528.0,Alabama,52423.0,91.89722068557694
AL,under18,2010.0,1130966.0,Alabama,52423.0,21.57385117219541
AL,total,2010.0,4785570.0,Alabama,52423.0,91.28760276977663
AL,under18,2011.0,1125763.0,Alabama,52423.0,21.47460084314137
AL,total,2011.0,4801627.0,Alabama,52423.0,91.59389962421075
AL,total,2009.0,4757938.0,Alabama,52423.0,90.76050588482154
AL,under18,2009.0,1134192.0,Alabama,52423.0,21.63538904679244
AL,under18,2013.0,1111481.0,Alabama,52423.0,21.202163172653226
AL,total,2013.0,4833722.0,Alabama,52423.0,92.2061308967438
AL,total,2007.0,4672840.0,Alabama,52423.0,89.13721076626672
AL,under18,2007.0,1132296.0,Alabama,52423.0,21.59922171565916
AL,total,2008.0,4718206.0,Alabama,52423.0,90.00259428113614
AL,under18,2008.0,1134927.0,Alabama,52423.0,21.649409610285563
AL,total,2005.0,4569805.0,Alabama,52423.0,87.1717566716899
AL,under18,2005.0,1117229.0,Alabama,52423.0,21.311809701848425
AL,total,2006.0,4628981.0,Alabama,52423.0,88.30057417545734
AL,under18,2006.0,1126798.0,Alabama,52423.0,21.494344085611278
AL,total,2004.0,4530729.0,Alabama,52423.0,86.42635865936707
AL,under18,2004.0,1113662.0,Alabama,52423.0,21.24376704881445
AL,total,2003.0,4503491.0,Alabama,52423.0,85.90677755946817
AL,under18,2003.0,1113083.0,Alabama,52423.0,21.232722278389257
AL,total,2001.0,4467634.0,Alabama,52423.0,85.22278389256624
AL,under18,2001.0,1120409.0,Alabama,52423.0,21.372470099002346
AL,total,2002.0,4480089.0,Alabama,52423.0,85.46037044808577
AL,under18,2002.0,1116590.0,Alabama,52423.0,21.299620395627873
AL,under18,1999.0,1121287.0,Alabama,52423.0,21.389218472807737
AL,total,1999.0,4430141.0,Alabama,52423.0,84.50758254964424
AL,total,2000.0,4452173.0,Alabama,52423.0,84.92785609369933
AL,under18,2000.0,1122273.0,Alabama,52423.0,21.40802701104477
AL,total,1998.0,4404701.0,Alabama,52423.0,84.02229937241287
AL,under18,1998.0,1118252.0,Alabama,52423.0,21.331324037159263
AL,under18,1997.0,1122893.0,Alabama,52423.0,21.419853880930127
AL,total,1997.0,4367935.0,Alabama,52423.0,83.32096598821128
AL,total,1996.0,4331103.0,Alabama,52423.0,82.61837361463479
AL,total,1995.0,4296800.0,Alabama,52423.0,81.96402342483262
AL,under18,1995.0,1110553.0,Alabama,52423.0,21.18446101901837
AL,under18,1996.0,1112092.0,Alabama,52423.0,21.213818362169278
AL,total,1994.0,4260229.0,Alabama,52423.0,81.26640978196593
AL,total,1993.0,4214202.0,Alabama,52423.0,80.38841729775099
AL,under18,1993.0,1085606.0,Alabama,52423.0,20.708582110905517
AL,under18,1994.0,1097180.0,Alabama,52423.0,20.929363065829882
AL,under18,1992.0,1072873.0,Alabama,52423.0,20.465692539534174
AL,total,1992.0,4154014.0,Alabama,52423.0,79.2402952902352
AL,total,1991.0,4099156.0,Alabama,52423.0,78.1938462125403
AL,under18,1991.0,1060794.0,Alabama,52423.0,20.23527840833222
AL,under18,1990.0,1050041.0,Alabama,52423.0,20.030158518207656
AL,total,1990.0,4050055.0,Alabama,52423.0,77.2572153444099
AK,total,1990.0,553290.0,Alaska,656425.0,0.8428838024145942
AK,under18,1990.0,177502.0,Alaska,656425.0,0.2704071295273641
AK,total,1992.0,588736.0,Alaska,656425.0,0.8968823551814754
AK,under18,1991.0,182180.0,Alaska,656425.0,0.2775336100849297
